product_id,product_name,category,price,stock_status,scraped_at,rolling_avg_3,pct_change
MP001,Laptop Pro 14,Electronics,835.03,In Stock,2026-07-29 21:32:00,835.03,
MP001,Laptop Pro 14,Electronics,828.73,Out of Stock,2026-07-30 21:32:00,831.88,-0.75
MP001,Laptop Pro 14,Electronics,832.1,Out of Stock,2026-07-31 21:32:00,831.95,0.41
MP001,Laptop Pro 14,Electronics,829.24,Low Stock,2026-08-01 21:32:00,830.02,-0.34
MP001,Laptop Pro 14,Electronics,801.46,In Stock,2026-08-02 21:32:00,820.93,-3.35
MP001,Laptop Pro 14,Electronics,828.71,In Stock,2026-08-03 21:32:00,819.8,3.4
MP001,Laptop Pro 14,Electronics,796.98,In Stock,2026-08-04 21:32:00,809.05,-3.83
MP001,Laptop Pro 14,Electronics,813.43,In Stock,2026-08-05 21:32:00,813.04,2.06
MP001,Laptop Pro 14,Electronics,816.24,Out of Stock,2026-08-06 21:32:00,808.88,0.35
MP001,Laptop Pro 14,Electronics,790.99,In Stock,2026-08-07 21:32:00,806.89,-3.09
MP001,Laptop Pro 14,Electronics,801.62,In Stock,2026-08-08 21:32:00,802.95,1.34
MP001,Laptop Pro 14,Electronics,802.93,In Stock,2026-08-09 21:32:00,798.51,0.16
MP001,Laptop Pro 14,Electronics,805.55,Out of Stock,2026-08-10 21:32:00,803.37,0.33
MP001,Laptop Pro 14,Electronics,803.31,In Stock,2026-08-11 21:32:00,803.93,-0.28
MP001,Laptop Pro 14,Electronics,830.66,Low Stock,2026-08-12 21:32:00,813.17,3.4
MP001,Laptop Pro 14,Electronics,827.6,In Stock,2026-08-13 21:32:00,820.52,-0.37
MP001,Laptop Pro 14,Electronics,797.06,In Stock,2026-08-14 21:32:00,818.44,-3.69
MP001,Laptop Pro 14,Electronics,777.88,Low Stock,2026-08-15 21:32:00,800.85,-2.41
MP001,Laptop Pro 14,Electronics,806.88,In Stock,2026-08-16 21:32:00,793.94,3.73
MP001,Laptop Pro 14,Electronics,786.59,In Stock,2026-08-17 21:32:00,790.45,-2.51
MP001,Laptop Pro 14,Electronics,810.77,Out of Stock,2026-08-18 21:32:00,801.41,3.07
MP001,Laptop Pro 14,Electronics,776.16,In Stock,2026-08-19 21:32:00,791.17,-4.27
MP001,Laptop Pro 14,Electronics,749.88,Low Stock,2026-08-20 21:32:00,778.94,-3.39
MP001,Laptop Pro 14,Electronics,759.17,Out of Stock,2026-08-21 21:32:00,761.74,1.24
MP001,Laptop Pro 14,Electronics,752.03,Out of Stock,2026-08-22 21:32:00,753.69,-0.94
MP001,Laptop Pro 14,Electronics,720.73,In Stock,2026-08-23 21:32:00,743.98,-4.16
MP001,Laptop Pro 14,Electronics,703.57,In Stock,2026-08-24 21:32:00,725.44,-2.38
MP001,Laptop Pro 14,Electronics,834.45,In Stock,2026-08-25 21:32:00,752.92,18.6
MP001,Laptop Pro 14,Electronics,821.32,In Stock,2026-08-26 21:32:00,786.45,-1.57
