order_id,customer_id,product,region,order_date,quantity,unit_price
ORD0024,C1004,Monitor,ALEXANDRIA,2026-01-15,7,95.83
ORD0048,C1037,Keyboard,Aswan,2026-01-27,5,147.02
ORD0056,C1044,Headphones,ALEXANDRIA,2026/01/11,2,$73.5
ORD0125,C1008,Monitor,alexandria,2026-01-20,5,$429.91
ORD0200,C1035,Keyboard,Giza,28/01/2026,7,$69.73
ORD0159,C1032,USB Cable,Giza,2026/01/27,9,51.26
ORD0076,C1048,Headphones,GIZA,2026-01-24,6,64.18
ORD0102,C1028,USB Cable,alexandria,2026/01/17,6,435.5
ORD0162,C1028,Keyboard,aswan,2026/01/27,10,$405.48
ORD0045,C1000,Webcam,Mansoura,2026/01/13,4,131.09
ORD0188,C1005,Headphones,MANSOURA,2026-01-05,8,90.46
ORD0038,C1019,Keyboard,ASWAN,2026/01/12,9,$78.31
ORD0119,C1002,Monitor,Cairo,23/01/2026,7,$62.75
ORD0196,C1002,Keyboard,aswan,2026/01/22,,172.12
ORD0118,C1020,USB Cable,GIZA,08/01/2026,1,311.68
ORD0098,C1021,Monitor,Aswan,2026-01-28,5,387.47
ORD0001,C1005,Mouse,cairo,2026/01/05,2,339.97
ORD0199,C1021,Headphones,MANSOURA,2026-01-02,8,210.73
ORD0043,C1021,Headphones,cairo,2026/01/21,7,341.36
ORD0113,C1023,Headphones,Alexandria,2026-01-21,5,$395.36
ORD0177,C1034,Headphones,ALEXANDRIA,2026-01-07,6,467.02
ORD0149,C1031,Keyboard,ASWAN,2026/01/25,2,92.69
ORD0004,C1002,Monitor,GIZA,2026-01-13,6,424.51
ORD0030,C1016,Monitor,Aswan,2026/01/14,10,$284.79
ORD0066,C1025,Keyboard,GIZA,01/01/2026,10,340.29
ORD0021,C1036,Mouse,ASWAN,22/01/2026,4,271.92
ORD0040,C1021,Keyboard,Alexandria,2026-01-26,7,17.27
ORD0064,C1007,Laptop,cairo,2026/01/01,3,123.08
ORD0123,C1038,Webcam,cairo,04/01/2026,2,333.07
ORD0002,C1045,USB Cable,CAIRO,2026-01-07,9,303.0
ORD0055,C1004,Desk Chair,Giza,2026/01/09,8,$315.24
ORD0016,C1005,Laptop,aswan,12/01/2026,4,33.67
ORD0140,C1042,Mouse,CAIRO,2026/01/25,1,$338.61
ORD0009,C1036,Monitor,Giza,2026-01-08,6,$203.58
ORD0136,C1035,Monitor,Cairo,04/01/2026,10,116.95
ORD0105,C1027,Desk Chair,ASWAN,2026-01-03,5,498.73
ORD0052,C1044,USB Cable,ALEXANDRIA,2026-01-23,2,$390.32
ORD0013,C1021,Headphones,aswan,2026-01-24,9,
ORD0190,C1035,Keyboard,giza,2026-01-07,4,$396.23
ORD0097,C1024,Desk Chair,giza,27/01/2026,8,125.65
ORD0017,C1010,Mouse,Mansoura,2026-01-18,3,331.58
ORD0170,C1046,Keyboard,mansoura,2026-01-03,5,$111.75
ORD0083,C1005,USB Cable,giza,2026-01-24,4,$314.63
ORD0006,C1024,Monitor,CAIRO,08/01/2026,2,428.38
ORD0058,C1019,USB Cable,aswan,2026/01/25,7,241.1
ORD0114,C1023,Keyboard,Cairo,2026-01-14,4,70.42
ORD0056,C1044,Headphones,ALEXANDRIA,2026/01/11,2,$73.5
ORD0158,C1019,Keyboard,Giza,22/01/2026,3,299.55
ORD0110,C1036,Headphones,mansoura,13/01/2026,2,122.42
ORD0026,C1016,Keyboard,mansoura,2026-01-13,3,192.59
ORD0091,C1006,Keyboard,Aswan,03/01/2026,6,$207.13
ORD0198,C1025,Laptop,Mansoura,21/01/2026,8,126.21
ORD0078,C1017,Mouse,ALEXANDRIA,2026-01-12,5,12.0
ORD0109,C1044,Headphones,ASWAN,15/01/2026,10,153.08
ORD0120,C1047,Headphones,MANSOURA,2026/01/08,3,
ORD0115,C1007,Headphones,ALEXANDRIA,27/01/2026,5,$374.55
ORD0092,C1016,Keyboard,Giza,22/01/2026,9,$23.17
ORD0047,C1043,Headphones,Mansoura,2026-01-18,4,213.12
ORD0165,C1016,Desk Chair,Giza,2026-01-14,4,$401.62
ORD0060,C1039,Laptop,Mansoura,2026/01/13,3,421.05
ORD0071,C1021,Monitor,CAIRO,2026-01-15,8,287.08
ORD0130,C1020,Mouse,cairo,05/01/2026,10,318.37
ORD0174,C1004,Laptop,mansoura,13/01/2026,5,$374.92
ORD0148,C1012,Mouse,,12/01/2026,3,$121.95
ORD0063,C1041,Mouse,MANSOURA,2026-01-18,6,$115.99
ORD0118,C1020,USB Cable,GIZA,08/01/2026,1,311.68
ORD0166,C1048,Laptop,Mansoura,2026/01/04,9,$426.33
ORD0139,C1020,Mouse,ASWAN,14/01/2026,6,$82.92
ORD0134,C1042,Webcam,Alexandria,2026/01/18,6,336.66
ORD0152,C1005,Mouse,giza,12/01/2026,2,324.11
ORD0150,C1020,Desk Chair,Aswan,2026/01/19,10,164.99
ORD0112,C1012,Laptop,Aswan,2026-01-10,10,$401.96
ORD0154,C1045,Webcam,aswan,02/01/2026,2,406.43
ORD0156,C1004,Webcam,Giza,2026/01/22,1,395.67
ORD0034,C1047,Laptop,ASWAN,2026-01-22,3,135.91
ORD0046,C1019,Monitor,Giza,2026/01/11,6,$333.38
ORD0070,C1020,Headphones,Aswan,16/01/2026,7,413.74
ORD0044,C1046,Laptop,cairo,19/01/2026,1,58.66
ORD0069,C1041,Mouse,Mansoura,27/01/2026,3,220.57
ORD0128,C1042,Desk Chair,,2026-01-17,10,26.47
ORD0023,C1006,Desk Chair,Cairo,2026-01-04,7,365.47
ORD0194,C1018,Laptop,Cairo,06/01/2026,4,176.28
ORD0180,C1005,Webcam,Alexandria,2026/01/26,5,401.57
