order_id,customer_id,product,region,order_date,quantity,unit_price,total_amount,order_month
ORD0024,C1004,Monitor,Alexandria,2026-01-15,7.0,95.83,670.81,2026-01
ORD0048,C1037,Keyboard,Aswan,2026-01-27,5.0,147.02,735.1,2026-01
ORD0056,C1044,Headphones,Alexandria,2026-01-11,2.0,73.5,147.0,2026-01
ORD0125,C1008,Monitor,Alexandria,2026-01-20,5.0,429.91,2149.55,2026-01
ORD0200,C1035,Keyboard,Giza,2026-01-28,7.0,69.73,488.11,2026-01
ORD0159,C1032,Usb Cable,Giza,2026-01-27,9.0,51.26,461.34,2026-01
ORD0076,C1048,Headphones,Giza,2026-01-24,6.0,64.18,385.08000000000004,2026-01
ORD0102,C1028,Usb Cable,Alexandria,2026-01-17,6.0,435.5,2613.0,2026-01
ORD0162,C1028,Keyboard,Aswan,2026-01-27,10.0,405.48,4054.8,2026-01
ORD0045,C1000,Webcam,Mansoura,2026-01-13,4.0,131.09,524.36,2026-01
ORD0188,C1005,Headphones,Mansoura,2026-01-05,8.0,90.46,723.68,2026-01
ORD0038,C1019,Keyboard,Aswan,2026-01-12,9.0,78.31,704.79,2026-01
ORD0119,C1002,Monitor,Cairo,2026-01-23,7.0,62.75,439.25,2026-01
ORD0118,C1020,Usb Cable,Giza,2026-01-08,1.0,311.68,311.68,2026-01
ORD0098,C1021,Monitor,Aswan,2026-01-28,5.0,387.47,1937.3500000000001,2026-01
ORD0001,C1005,Mouse,Cairo,2026-01-05,2.0,339.97,679.94,2026-01
ORD0199,C1021,Headphones,Mansoura,2026-01-02,8.0,210.73,1685.84,2026-01
ORD0043,C1021,Headphones,Cairo,2026-01-21,7.0,341.36,2389.52,2026-01
ORD0113,C1023,Headphones,Alexandria,2026-01-21,5.0,395.36,1976.8000000000002,2026-01
ORD0177,C1034,Headphones,Alexandria,2026-01-07,6.0,467.02,2802.12,2026-01
ORD0149,C1031,Keyboard,Aswan,2026-01-25,2.0,92.69,185.38,2026-01
ORD0004,C1002,Monitor,Giza,2026-01-13,6.0,424.51,2547.06,2026-01
ORD0030,C1016,Monitor,Aswan,2026-01-14,10.0,284.79,2847.9,2026-01
ORD0066,C1025,Keyboard,Giza,2026-01-01,10.0,340.29,3402.9,2026-01
ORD0021,C1036,Mouse,Aswan,2026-01-22,4.0,271.92,1087.68,2026-01
ORD0040,C1021,Keyboard,Alexandria,2026-01-26,7.0,17.27,120.89,2026-01
ORD0064,C1007,Laptop,Cairo,2026-01-01,3.0,123.08,369.24,2026-01
ORD0123,C1038,Webcam,Cairo,2026-01-04,2.0,333.07,666.14,2026-01
ORD0002,C1045,Usb Cable,Cairo,2026-01-07,9.0,303.0,2727.0,2026-01
ORD0055,C1004,Desk Chair,Giza,2026-01-09,8.0,315.24,2521.92,2026-01
ORD0016,C1005,Laptop,Aswan,2026-01-12,4.0,33.67,134.68,2026-01
ORD0140,C1042,Mouse,Cairo,2026-01-25,1.0,338.61,338.61,2026-01
ORD0009,C1036,Monitor,Giza,2026-01-08,6.0,203.58,1221.48,2026-01
ORD0136,C1035,Monitor,Cairo,2026-01-04,10.0,116.95,1169.5,2026-01
ORD0105,C1027,Desk Chair,Aswan,2026-01-03,5.0,498.73,2493.65,2026-01
ORD0052,C1044,Usb Cable,Alexandria,2026-01-23,2.0,390.32,780.64,2026-01
ORD0190,C1035,Keyboard,Giza,2026-01-07,4.0,396.23,1584.92,2026-01
ORD0097,C1024,Desk Chair,Giza,2026-01-27,8.0,125.65,1005.2,2026-01
ORD0017,C1010,Mouse,Mansoura,2026-01-18,3.0,331.58,994.74,2026-01
ORD0170,C1046,Keyboard,Mansoura,2026-01-03,5.0,111.75,558.75,2026-01
ORD0083,C1005,Usb Cable,Giza,2026-01-24,4.0,314.63,1258.52,2026-01
ORD0006,C1024,Monitor,Cairo,2026-01-08,2.0,428.38,856.76,2026-01
ORD0058,C1019,Usb Cable,Aswan,2026-01-25,7.0,241.1,1687.7,2026-01
ORD0114,C1023,Keyboard,Cairo,2026-01-14,4.0,70.42,281.68,2026-01
ORD0158,C1019,Keyboard,Giza,2026-01-22,3.0,299.55,898.6500000000001,2026-01
ORD0110,C1036,Headphones,Mansoura,2026-01-13,2.0,122.42,244.84,2026-01
ORD0026,C1016,Keyboard,Mansoura,2026-01-13,3.0,192.59,577.77,2026-01
ORD0091,C1006,Keyboard,Aswan,2026-01-03,6.0,207.13,1242.78,2026-01
ORD0198,C1025,Laptop,Mansoura,2026-01-21,8.0,126.21,1009.68,2026-01
ORD0078,C1017,Mouse,Alexandria,2026-01-12,5.0,12.0,60.0,2026-01
ORD0109,C1044,Headphones,Aswan,2026-01-15,10.0,153.08,1530.8000000000002,2026-01
ORD0115,C1007,Headphones,Alexandria,2026-01-27,5.0,374.55,1872.75,2026-01
ORD0092,C1016,Keyboard,Giza,2026-01-22,9.0,23.17,208.53000000000003,2026-01
ORD0047,C1043,Headphones,Mansoura,2026-01-18,4.0,213.12,852.48,2026-01
ORD0165,C1016,Desk Chair,Giza,2026-01-14,4.0,401.62,1606.48,2026-01
