shipment_id,ship_date,hub_id,service_type,weight_kg
SH-1001,2024-06-01,H-CAI,express,2.5
SH-1002,02-06-2024,H-ALX,standard,8.0
SH-1003,2024/06/03,H-GIZ,express,1.2
SH-1004,2024-06-04,H-CAI,standard,12.0
SH-1005,2024-06-05,H-ALX,express,0.8
SH-1006,2024-06-06,H-GIZ,standard,20.0
SH-1007,07-06-2024,H-CAI,express,3.1
SH-1008,2024-06-08,H-ALX,standard,5.5
SH-1009,2024-06-09,H-GIZ,express,1.0
SH-1010,2024-06-10,H-CAI,standard,7.2
SH-1011,not-a-date,H-CAI,express,2.0
SH-1012,2024-06-12,H-ALX,express,-4.0
SH-1013,2024-06-13,H-GIZ,standard,90.0
SH-1014,2024-06-14,H-CAI,express,2.2
SH-1014,2024-06-14,H-CAI,express,2.2
SH-1015,2024-06-15,H-ALX,standard,4.4
SH-1016,2024-06-16,H-GIZ,express,1.5
SH-1017,2024-06-17,H-CAI,standard,9.9
SH-1018,18-06-2024,H-ALX,express,2.8
SH-1019,2024-06-19,H-GIZ,standard,6.0
SH-1020,2024-06-20,H-CAI,express,1.1
