order_id,order_date,customer_id,product_id,product_name,region,quantity,unit_price
ORD00849,01-20-2025,C035,P008,Desk Lamp,Alexandria,4,107.06
ORD00032,2024-08-08,C003,P009,Webcam HD,Giza,10,255.35
ORD00509,2025-01-11,C016,P001,Wireless Mouse,Aswan,9,187.09
ORD00736,30/12/2024,C011,P007,Gel Pen Pack,Alexandria,9,70.3
ORD00382,2025-01-06,C038,P006,Notebook Set,Aswan,10,100.46
ORD00019,2024-07-27,C037,P010,Monitor Stand,Mansoura,4,356.31
ORD00448,03/02/2025,C039,P005,Standing Desk,Mansoura,5,401.15
ORD00783,2024-03-07,C005,P007,Gel Pen Pack,Cairo,3,398.98
ORD00545,10-05-2024,C028,P010,Monitor Stand,Mansoura,10,357.49
ORD00057,2025-01-01,C020,P001,Wireless Mouse,Aswan,7,187.54
ORD00636,12-03-2024,C003,P007,Gel Pen Pack,Alexandria,2,29.26
ORD00682,04-15-2024,C019,P005,Standing Desk,Mansoura,7,71.64
ORD00354,12-05-2024,C001,P004,Office Chair,Giza,7,302.82
ORD00786,06-13-2024,C024,P009,Webcam HD,Mansoura,9,216.96
ORD00237,17/06/2024,C022,P007,Gel Pen Pack,Aswan,7,364.77
ORD00811,14/01/2025,,P010,Monitor Stand,Alexandria,5,69.01
ORD00810,2024-08-12,C006,P002,Mechanical Keyboard,Aswan,4,325.41
ORD00005,2024-02-05,C040,P005,Standing Desk,Giza,10,98.65
ORD00588,02-15-2024,C039,P001,Wireless Mouse,Alexandria,8,281.24
ORD00427,11-02-2024,C034,P004,Office Chair,Giza,4,29.62
ORD01128,2024-10-13,C030,P006,Notebook Set,,7,107.99
ORD00246,04-15-2024,C023,P003,USB-C Hub,Giza,6,213.07
ORD01122,20/04/2024,C005,P004,Office Chair,Aswan,3,59.79
ORD00995,04/12/2024,C034,P002,Mechanical Keyboard,Aswan,4,266.38
ORD00551,08-10-2024,C026,P010,Monitor Stand,Giza,7,191.62
ORD01067,04-04-2024,C004,P010,Monitor Stand,Alexandria,2,299.75
ORD01155,11/12/2024,C028,P003,USB-C Hub,Alexandria,5,150.33
ORD01064,13/06/2024,C001,P010,Monitor Stand,,5,262.27
ORD01090,02-10-2024,C009,P002,Mechanical Keyboard,Giza,2,436.27
ORD00105,26/01/2024,C006,P008,Desk Lamp,Alexandria,10,437.43
ORD01061,13/12/2024,C007,P001,Wireless Mouse,Aswan,7,429.33
ORD00709,2024-08-04,C006,P004,Office Chair,Giza,8,79.45
ORD00055,2024-11-14,C002,P001,Wireless Mouse,Alexandria,4,380.06
ORD01131,2024-09-08,C002,P010,Monitor Stand,Mansoura,10,290.02
ORD00202,21/07/2024,C036,P001,Wireless Mouse,Mansoura,5,329.63
ORD00698,08-09-2024,C010,P005,Standing Desk,Cairo,5,228.52
ORD00253,2024-08-04,C027,P007,Gel Pen Pack,Aswan,3,265.04
ORD00217,2024-06-12,C030,P008,Desk Lamp,Cairo,8,346.31
ORD00796,05/01/2024,C037,P003,USB-C Hub,Alexandria,5,425.36
ORD00020,2024-02-25,C007,P001,Wireless Mouse,Cairo,7,331.77
